Geography,2014 estimate
"    Abilene, TX Metro Area",168592
"    Aguadilla-Isabela, PR Metro Area",322641
"    Akron, OH Metro Area",703825
"    Albany-Schenectady-Troy, NY Metro Area",880167
"    Albany, GA Metro Area",154925
"    Albany, OR Metro Area",119356
"    Albuquerque, NM Metro Area",904587
"    Alexandria, LA Metro Area",154872
"    Allentown-Bethlehem-Easton, PA-NJ Metro Area",829835
"    Altoona, PA Metro Area",125955
"    Amarillo, TX Metro Area",259885
"    Anchorage, AK Metro Area",398892
"    Ann Arbor, MI Metro Area",356874
"    Anniston-Oxford-Jacksonville, AL Metro Area",115916
"    Appleton, WI Metro Area",231497
"    Arecibo, PR Metro Area",191864
"    Asheville, NC Metro Area",442316
"    Athens-Clarke County, GA Metro Area",199016
"    Atlanta-Sandy Springs-Roswell, GA Metro Area",5614323
"    Atlantic City-Hammonton, NJ Metro Area",275209
"    Auburn-Opelika, AL Metro Area",154255
"    Augusta-Richmond County, GA-SC Metro Area",583632
"    Augusta-Waterville, ME Micro Area",121112
"    Austin-Round Rock, TX Metro Area",1943299
"    Bakersfield, CA Metro Area",874589
"    Baltimore-Columbia-Towson, MD Metro Area",2785874
"    Bangor, ME Metro Area",153414
"    Barnstable Town, MA Metro Area",214914
"    Baton Rouge, LA Metro Area",825478
"    Battle Creek, MI Metro Area",134878
"    Bay City, MI Metro Area",106179
"    Beaumont-Port Arthur, TX Metro Area",405427
"    Beckley, WV Metro Area",123373
"    Bellingham, WA Metro Area",208351
"    Bend-Redmond, OR Metro Area",170388
"    Billings, MT Metro Area",166885
"    Binghamton, NY Metro Area",247219
"    Birmingham-Hoover, AL Metro Area",1143772
"    Bismarck, ND Metro Area",126597
"    Blacksburg-Christiansburg-Radford, VA Metro Area",181605
"    Bloomington, IL Metro Area",190345
"    Bloomington, IN Metro Area",164308
"    Bluefield, WV-VA Micro Area",105237
"    Boise City, ID Metro Area",664422
"    Boston-Cambridge-Newton, MA-NH Metro Area",4732161
"    Boulder, CO Metro Area",313333
"    Bowling Green, KY Metro Area",165732
"    Bremerton-Silverdale, WA Metro Area",254183
"    Bridgeport-Stamford-Norwalk, CT Metro Area",945438
"    Brownsville-Harlingen, TX Metro Area",420392
"    Brunswick, GA Metro Area",114806
"    Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1136360
"    Burlington-South Burlington, VT Metro Area",216167
"    Burlington, NC Metro Area",155792
"    California-Lexington Park, MD Metro Area",110382
"    Canton-Massillon, OH Metro Area",403923
"    Cape Coral-Fort Myers, FL Metro Area",679513
"    Carbondale-Marion, IL Metro Area",126685
"    Cedar Rapids, IA Metro Area",263885
"    Chambersburg-Waynesboro, PA Metro Area",152892
"    Champaign-Urbana, IL Metro Area",237252
"    Charleston-North Charleston, SC Metro Area",727689
"    Charleston, WV Metro Area",222878
"    Charlotte-Concord-Gastonia, NC-SC Metro Area",2380314
"    Charlottesville, VA Metro Area",226968
"    Chattanooga, TN-GA Metro Area",544559
"    Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9554598
"    Chico, CA Metro Area",224241
"    Cincinnati, OH-KY-IN Metro Area",2149449
"    Claremont-Lebanon, NH-VT Micro Area",217634
"    Clarksville, TN-KY Metro Area",278353
"    Cleveland-Elyria, OH Metro Area",2063598
"    Cleveland, TN Metro Area",119705
"    Coeur d'Alene, ID Metro Area",147326
"    College Station-Bryan, TX Metro Area",242905
"    Colorado Springs, CO Metro Area",686908
"    Columbia, MO Metro Area",172717
"    Columbia, SC Metro Area",800495
"    Columbus, GA-AL Metro Area",314005
"    Columbus, OH Metro Area",1994536
"    Concord, NH Micro Area",147171
"    Cookeville, TN Micro Area",107761
"    Corpus Christi, TX Metro Area",448108
"    Crestview-Fort Walton Beach-Destin, FL Metro Area",258042
"    Cumberland, MD-WV Metro Area",100530
"    Dallas-Fort Worth-Arlington, TX Metro Area",6954330
"    Dalton, GA Metro Area",142952
"    Danville, VA Micro Area",104827
"    Daphne-Fairhope-Foley, AL Metro Area",200111
"    Davenport-Moline-Rock Island, IA-IL Metro Area",383030
"    Dayton, OH Metro Area",800836
"    Decatur, AL Metro Area",153084
"    Decatur, IL Metro Area",108350
"    Deltona-Daytona Beach-Ormond Beach, FL Metro Area",609939
"    Denver-Aurora-Lakewood, CO Metro Area",2754258
"    Des Moines-West Des Moines, IA Metro Area",611549
"    Detroit-Warren-Dearborn, MI Metro Area",4296611
"    Dothan, AL Metro Area",148095
"    Dover, DE Metro Area",171987
"    Duluth, MN-WI Metro Area",280218
"    Dunn, NC Micro Area",126666
"    Durham-Chapel Hill, NC Metro Area",542710
"    East Stroudsburg, PA Metro Area",166314
"    Eau Claire, WI Metro Area",165024
"    El Centro, CA Metro Area",179091
"    El Paso, TX Metro Area",836698
"    Elizabethtown-Fort Knox, KY Metro Area",151585
"    Elkhart-Goshen, IN Metro Area",201971
"    Erie, PA Metro Area",278443
"    Eugene, OR Metro Area",358337
"    Eureka-Arcata-Fortuna, CA Micro Area",134809
"    Evansville, IN-KY Metro Area",315162
"    Fargo, ND-MN Metro Area",228291
"    Farmington, NM Metro Area",123785
"    Fayetteville-Springdale-Rogers, AR-MO Metro Area",501653
"    Fayetteville, NC Metro Area",377939
"    Flagstaff, AZ Metro Area",137682
"    Flint, MI Metro Area",412895
"    Florence-Muscle Shoals, AL Metro Area",147639
"    Florence, SC Metro Area",207030
"    Fond du Lac, WI Metro Area",101759
"    Fort Collins, CO Metro Area",324122
"    Fort Smith, AR-OK Metro Area",279592
"    Fort Wayne, IN Metro Area",427183
"    Fresno, CA Metro Area",965974
"    Gadsden, AL Metro Area",103531
"    Gainesville, FL Metro Area",273377
"    Gainesville, GA Metro Area",190761
"    Gettysburg, PA Metro Area",101714
"    Glens Falls, NY Metro Area",127345
"    Goldsboro, NC Metro Area",124456
"    Grand Forks, ND-MN Metro Area",101842
"    Grand Junction, CO Metro Area",148255
"    Grand Rapids-Wyoming, MI Metro Area",1027703
"    Greeley, CO Metro Area",277670
"    Green Bay, WI Metro Area",314531
"    Greensboro-High Point, NC Metro Area",746593
"    Greenville-Anderson-Mauldin, SC Metro Area",862463
"    Greenville, NC Metro Area",175354
"    Gulfport-Biloxi-Pascagoula, MS Metro Area",386144
"    Hagerstown-Martinsburg, MD-WV Metro Area",260070
"    Hammond, LA Metro Area",127049
"    Hanford-Corcoran, CA Metro Area",150269
"    Harrisburg-Carlisle, PA Metro Area",560849
"    Harrisonburg, VA Metro Area",130649
"    Hartford-West Hartford-East Hartford, CT Metro Area",1214295
"    Hattiesburg, MS Metro Area",148656
