,percapita,county_pop2002
"Abilene, TX",4.11040971224,158118
"Albany, GA",6.10744835828,160054
"Albany-Schenectady, NY",3.49474984375,958753
"Albuquerque-Santa Fe-Las Vegas, NM",3.10459571145,888247
"Alexandria, LA",11.2782440661,145137
"Altoona, PA",3.2662277911,127346
"Amarillo-Borger, TX",14.552467107,232354
"Anchorage, AK",6.66512116194,332703
"Anniston-Oxford-Jacksonville, AL",4.21218490485,110860
"Appleton-Oshkosh-Neenah, WI",4.89198358755,366568
"Asheville-Brevard, NC",4.18214295168,377810
"Atlanta--Athens-Clarke County--Sandy Springs, GA",5.27159624002,4894648
"Augusta-Richmond County, GA-SC",4.3423811806,514766
"Augusta-Waterville, ME",3.65762340586,118423
"Austin-Round Rock, TX",3.22172375996,1353176
"Bakersfield, CA",7.1635508484,689204
"Bangor, ME",7.14433641497,146249
"Baton Rouge, LA",25.9921219471,713558
"Beaumont-Port Arthur, TX",16.7541206709,395792
"Beckley, WV",2.60477257463,125821
"Bellingham, WA",4.21260632791,174980
"Bend-Redmond-Prineville, OR",2.4840182203,125468
"Billings, MT",10.0596608146,142482
"Binghamton, NY",4.0591491555,251290
"Birmingham-Hoover-Talladega, AL",13.2987086016,1065089
"Bismarck, ND",20.3067564482,102057
"Blacksburg-Christiansburg-Radford, VA",7.03033392793,166771
"Bloomington-Bedford, IN",2.74402269212,143585
"Bloomington-Pontiac, IL",3.58809098373,172176
"Bluefield, WV-VA",2.74223542929,105929
"Boise City-Mountain Home-Ontario, ID-OR",3.01882195081,499028
"Boston-Worcester-Providence, MA-RI-NH-CT",3.73766970835,7709235
"Bowling Green-Glasgow, KY",2.95425806259,137731
"Brownsville-Harlingen-Raymondville, TX",1.68556310492,349544
"Brunswick, GA",4.1285353951,95031
"Buffalo-Cheektowaga, NY",5.27625115182,1158368
"Burlington-South Burlington, VT",4.08835956323,202511
"Cape Coral-Fort Myers-Naples, FL",3.32018846838,749476
"Carbondale-Marion, IL",7.86133099556,120666
"Cedar Rapids-Iowa City, IA",4.44402300903,378601
"Champaign-Urbana, IL",3.71573971821,213351
"Charleston-Huntington-Ashland, WV-OH-KY",13.1873702265,592172
"Charleston-North Charleston, SC",10.4964638035,566543
"Charlotte-Concord, NC-SC",3.86521273,1809872
"Charlottesville, VA",5.35164988333,196266
"Chattanooga-Cleveland-Dalton, TN-GA-AL",4.51242981981,718025
"Chicago-Naperville, IL-IN-WI",5.27626979309,9612559
"Chico, CA",1.85192432347,209319
"Cincinnati-Wilmington-Maysville, OH-KY-IN",7.043503735,2034873
"Claremont-Lebanon, NH-VT",4.24557195956,210030
"Clarksville, TN-KY",2.7390803715,225531
"Cleveland-Akron-Canton, OH",6.17575613226,3248030
"College Station-Bryan, TX",6.71214343844,189271
"Colorado Springs, CO",4.22928852255,566091
"Columbia-Moberly-Mexico, MO",3.74191644694,139759
"Columbia-Orangeburg-Newberry, SC",5.17285437095,663454
"Columbus-Auburn-Opelika, GA-AL",2.92269283926,404512
"Columbus-Marion-Zanesville, OH",2.85969360301,1722310
"Cookeville, TN",3.96240567553,95507
"Corpus Christi-Kingsville-Alice, TX",9.97208454992,402858
"Crestview-Fort Walton Beach-Destin, FL",3.3963332697,219970
"Cumberland, MD-WV",3.07951782947,100840
"Dallas-Fort Worth, TX-OK",3.05469301781,5635129
"Danville, VA",4.73541380983,108636
"Davenport-Moline, IA-IL",4.59865816426,373855
"Dayton-Springfield-Sidney, OH",3.30365249067,946515
"Decatur, IL",4.88042264171,111980
"Denver-Aurora, CO",3.87431053233,2761761
"Des Moines-Ames-West Des Moines, IA",3.06334311567,496973
"Detroit-Warren-Ann Arbor, MI",5.25757336283,5407044
"Dothan-Enterprise-Ozark, AL",2.66337486452,131633
"Duluth, MN-WI",9.09723985626,275792
"Eau Claire-Menomonie, WI",3.61715946023,150861
"El Centro, CA",3.96293875412,144579
"El Paso-Las Cruces, TX-NM",2.64801189455,870556
"Erie-Meadville, PA",2.91468627021,281920
"Eugene, OR",2.29464082932,327394
"Eureka-Arcata-Fortuna, CA",3.14970196743,127779
"Evansville, IN-KY",19.3102210673,297191
"Fargo-Wahpeton, ND-MN",3.8819434937,177537
"Farmington, NM",71.4747715034,118277
"Fayetteville-Lumberton-Laurinburg, NC",2.77902636631,466349
"Fayetteville-Springdale-Rogers, AR-MO",5.79078330533,369930
