,state,tot_co2,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,FIPS,Unnamed: 0,CSA Code,CBSA Title,MSAMCA,center-outer,city,city_pop2014,county_pop2002,county_co2_pc_tons,county,county_land_area_sqmi,top_level,CSA,density_sqmi_county
0,AL,256166.625389,3000.71121333,4433.80066292,10148.4992067,155508.35237,74760.7067233,0.0,975.80980847,2452.87925069,4885.86615328,1001.0,710,,"Montgomery, AL",Metropolitan Statistical Area,Central,"Montgomery, AL",373141,45157,5.67279990674,Autauga County,594.436,"Montgomery, AL",False,75.9661258739
1,AL,450031.262255,15348.1793302,11883.6768205,31948.4613755,0.0,278708.930704,0.0,17842.0966678,44849.4056305,49450.511726,1003.0,329,380.0,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Central,"Daphne-Fairhope-Foley, AL",200111,148141,3.03785759685,Baldwin County,1589.784,"Mobile-Daphne-Fairhope, AL",True,93.1830990877
4,AL,466962.818551,12576.5953722,46280.841455,27427.6599575,0.0,347098.998531,0.0,5050.1887279,12694.5814742,15833.953033,1015.0,44,,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,Central,"Anniston-Oxford-Jacksonville, AL",115916,110860,4.21218490485,Calhoun County,605.868,"Anniston-Oxford-Jacksonville, AL",False,182.977150138
6,AL,1970785.49668,6657.72709673,35109.6965523,12390.497052,1793229.45173,92230.580537,0.0,5270.56679704,13248.5427937,12648.4341141,1033.0,405,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,Central,"Florence-Muscle Shoals, AL",147639,54594,36.098939383,Colbert County,592.619,"Florence-Muscle Shoals, AL",False,92.1232697568
7,AL,148692.507705,3090.92244296,16778.1832409,14935.9308819,0.0,88697.223704,0.0,4229.88106412,10632.5890196,10327.777351,1051.0,711,,"Montgomery, AL",Metropolitan Statistical Area,Central,"Montgomery, AL",373141,68822,2.16053744013,Elmore County,618.485,"Montgomery, AL",False,111.275131976
8,AL,422519.919247,10792.7683575,16143.1418204,24342.7637689,183977.22021,168522.653687,0.0,2799.07967435,7036.00215527,8906.28957414,1055.0,417,,"Gadsden, AL",Metropolitan Statistical Area,Central,"Gadsden, AL",103531,102815,4.10951630839,Etowah County,534.991,"Gadsden, AL",False,192.180803042
12,AL,224509.993709,15839.8330835,19561.9912074,20284.4525772,0.0,155723.472043,0.0,0.0,0.0,13100.2447981,1069.0,365,222.0,"Dothan, AL",Metropolitan Statistical Area,Central,"Dothan, AL",148095,89849,2.49874782924,Houston County,579.824,"Dothan-Enterprise-Ozark, AL",True,154.959091035
13,AL,7520750.42081,160657.942807,921725.19135,154653.329543,4864683.61751,1108491.21596,83061.4645311,37975.0637623,95457.3292039,94045.2661477,1073.0,140,142.0,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Central,"Birmingham-Hoover, AL",1143772,659766,11.3991179006,Jefferson County,1111.276,"Birmingham-Hoover-Talladega, AL",True,593.701294728
14,AL,181586.492402,10618.6093492,14077.8945726,19864.6601818,0.0,123030.846294,0.0,0.0,0.0,13994.4820045,1077.0,406,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,Central,"Florence-Muscle Shoals, AL",147639,86872,2.0902764113,Lauderdale County,667.697,"Florence-Muscle Shoals, AL",False,130.106919756
16,AL,416117.78731,10119.5674223,26766.3650304,24027.9717309,160853.161298,153387.125456,0.0,7097.90334002,17841.8918732,16023.801159,1081.0,89,194.0,"Auburn-Opelika, AL",Metropolitan Statistical Area,Central,"Auburn-Opelika, AL",154255,118197,3.5205444073,Lee County,607.536,"Columbus-Auburn-Opelika, GA-AL",True,194.551433989
19,AL,684463.158621,47391.0401853,52433.1343878,66003.635348,0.0,403215.720168,0.0,21686.7219852,54513.5834097,39219.3231365,1089.0,490,290.0,"Huntsville, AL",Metropolitan Statistical Area,Central,"Huntsville, AL",441086,286037,2.392918254,Madison County,801.593,"Huntsville-Decatur-Albertville, AL",True,356.835700911
20,AL,5400624.90964,56906.155322,491468.323208,93982.9877062,3886716.86355,509090.70606,167863.04356,41836.3350687,105163.354208,47597.1409653,1097.0,705,380.0,"Mobile, AL",Metropolitan Statistical Area,Central,"Mobile, AL",415123,398417,13.5552070058,Mobile County,1229.435,"Mobile-Daphne-Fairhope, AL",True,324.065119343
21,AL,570772.833433,41838.7938734,22380.3454457,50752.1957452,0.0,371380.7918,0.0,15208.2193347,38228.6675962,30983.8196379,1101.0,713,,"Montgomery, AL",Metropolitan Statistical Area,Central,"Montgomery, AL",373141,222936,2.56025421391,Montgomery County,784.247,"Montgomery, AL",False,284.267584065
22,AL,632854.898887,19810.392437,304906.508949,25840.5505776,86389.7843244,174400.110474,0.0,1641.92388311,4127.2771091,15738.3511332,1103.0,338,290.0,"Decatur, AL",Metropolitan Statistical Area,Central,"Decatur, AL",153084,111397,5.68107667969,Morgan County,579.337,"Huntsville-Decatur-Albertville, AL",True,192.283593142
24,AL,151921.479971,3320.76004246,40633.38151,11783.957441,0.0,91555.7696691,0.0,0.0,0.0,4627.61130836,1113.0,286,194.0,"Columbus, GA-AL",Metropolitan Statistical Area,Central,"Columbus, GA-AL",314005,49188,3.08858827297,Russell County,641.14,"Columbus-Auburn-Opelika, GA-AL",True,76.7195932246
26,AL,3781135.57974,18579.3446136,12057.4762684,34441.2095495,3283325.57997,211988.235546,170183.196179,2266.98940405,5698.49724353,42595.0509667,1117.0,142,142.0,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Central,"Birmingham-Hoover, AL",1143772,153918,24.5659089888,Shelby County,784.93,"Birmingham-Hoover-Talladega, AL",True,196.091371205
27,AL,666810.764004,21997.6089934,204728.734302,37980.3811391,213.329143893,342532.275256,0.0,9231.62596391,23205.39892,26921.4102858,1125.0,1133,,"Tuscaloosa, AL",Metropolitan Statistical Area,Central,"Tuscaloosa, AL",237761,166610,4.00222534064,Tuscaloosa County,1321.755,"Tuscaloosa, AL",False,126.052104967
29,AK,1929370.20484,359552.567902,571816.524851,190491.098698,1438.30269066,262053.173592,0.0,82885.172085,409221.326041,51912.0389842,2020.0,41,,"Anchorage, AK",Metropolitan Statistical Area,Central,"Anchorage, AK",398892,268163,7.19476663389,Anchorage Municipality,1704.683,"Anchorage, AK",False,157.309599497
31,AZ,1209644.19351,13136.7760298,11624.3087319,25661.3832108,759937.630278,281948.460658,0.0,28620.1883365,71942.1316122,16773.3146533,4003.0,1051,,"Sierra Vista-Douglas, AZ",Metropolitan Statistical Area,Central,"Sierra Vista-Douglas, AZ",127448,119750,10.1014128894,Cochise County,6165.69,"Sierra Vista-Douglas, AZ",False,19.421994943
32,AZ,5632171.04641,43943.3575973,23178.5119547,21663.4960617,5065879.60228,331677.839355,0.0,35113.1794623,88263.4607503,22451.5989461,4005.0,401,,"Flagstaff, AZ",Metropolitan Statistical Area,Central,"Flagstaff, AZ",137682,120390,46.7827148967,Coconino County,18618.885,"Flagstaff, AZ",False,6.46601555356
