USPS,FIPS,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                    
AL,1001,161526,Autauga County,1539582278,25775735,594.436,9.952,32.536382,-86.64449
AL,1003,161527,Baldwin County,4117521611,1133190229,1589.784,437.527,30.659218,-87.746067
AL,1005,161528,Barbour County,2291818968,50864716,884.876,19.639,31.87067,-85.405456
AL,1007,161529,Bibb County,1612480789,9289057,622.582,3.587,33.015893,-87.127148
AL,1009,161530,Blount County,1669961855,15157440,644.776,5.852,33.977448,-86.567246
AL,1011,161531,Bullock County,1613056905,6056528,622.805,2.338,32.101759,-85.717261
AL,1013,161532,Butler County,2011976894,2726814,776.829,1.053,31.751667,-86.681969
AL,1015,161533,Calhoun County,1569189995,16624267,605.868,6.419,33.771706,-85.822513
AL,1017,161534,Chambers County,1545009282,17048142,596.531,6.582,32.917943,-85.391812
AL,1019,161535,Cherokee County,1434075952,119858898,553.7,46.278,34.069515,-85.654242
AL,1021,161536,Chilton County,1794483586,20586383,692.854,7.948,32.854059,-86.726627
AL,1023,161537,Choctaw County,2365954748,19059251,913.5,7.359,31.991008,-88.248887
AL,1025,161538,Clarke County,3207609488,36542656,1238.465,14.109,31.685521,-87.818624
AL,1027,161539,Clay County,1564252280,5284628,603.961,2.04,33.267809,-85.862051
AL,1029,161540,Cleburne County,1450652767,2365681,560.1,0.913,33.671981,-85.516109
AL,1031,161541,Coffee County,1758528786,3944730,678.972,1.523,31.402183,-85.989201
AL,1033,161542,Colbert County,1534877333,76430813,592.619,29.51,34.703112,-87.801457
AL,1035,161543,Conecuh County,2201894769,6644940,850.156,2.566,31.428292,-86.992029
AL,1037,161544,Coosa County,1685891075,39946646,650.926,15.423,32.931445,-86.243482
AL,1039,161545,Covington County,2668869505,34526309,1030.456,13.331,31.243987,-86.448721
AL,1041,161546,Crenshaw County,1576888006,5376392,608.84,2.076,31.732826,-86.319222
AL,1043,161547,Cullman County,1903228333,52266921,734.841,20.18,34.131923,-86.869267
AL,1045,161548,Dale County,1453371157,4016457,561.15,1.551,31.430654,-85.609476
AL,1047,161549,Dallas County,2534807386,39134826,978.695,15.11,32.33354,-87.114356
AL,1049,161550,DeKalb County,2012662359,4123588,777.093,1.592,34.460929,-85.803992
AL,1051,161551,Elmore County,1601867593,99862541,618.485,38.557,32.597229,-86.142738
AL,1053,161552,Escambia County,2447746932,20873208,945.08,8.059,31.121747,-87.168429
AL,1055,161553,Etowah County,1385618994,35322991,534.991,13.638,34.047638,-86.03442
