,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,CSA Title,County/County Equivalent,State Name,FIPS County Code,State Code,STCOU,Central/Outlying County,Geography,2014 estimate,county_state
44,,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,,Calhoun County,Alabama,15,1000,1015,Central,"Anniston-Oxford-Jacksonville, AL",115916,"Calhoun County, Alabama"
89,194,"Auburn-Opelika, AL",Metropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL",Lee County,Alabama,81,1000,1081,Central,"Auburn-Opelika, AL",154255,"Lee County, Alabama"
137,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Bibb County,Alabama,7,1000,1007,Outlying,"Birmingham-Hoover, AL",1143772,"Bibb County, Alabama"
138,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Blount County,Alabama,9,1000,1009,Outlying,"Birmingham-Hoover, AL",1143772,"Blount County, Alabama"
139,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Chilton County,Alabama,21,1000,1021,Outlying,"Birmingham-Hoover, AL",1143772,"Chilton County, Alabama"
140,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Jefferson County,Alabama,73,1000,1073,Central,"Birmingham-Hoover, AL",1143772,"Jefferson County, Alabama"
141,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",St. Clair County,Alabama,115,1000,1115,Outlying,"Birmingham-Hoover, AL",1143772,"St. Clair County, Alabama"
142,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Shelby County,Alabama,117,1000,1117,Central,"Birmingham-Hoover, AL",1143772,"Shelby County, Alabama"
143,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Walker County,Alabama,127,1000,1127,Outlying,"Birmingham-Hoover, AL",1143772,"Walker County, Alabama"
286,194,"Columbus, GA-AL",Metropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL",Russell County,Alabama,113,1000,1113,Central,"Columbus, GA-AL",314005,"Russell County, Alabama"
329,380,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,"Mobile-Daphne-Fairhope, AL",Baldwin County,Alabama,3,1000,1003,Central,"Daphne-Fairhope-Foley, AL",200111,"Baldwin County, Alabama"
337,290,"Decatur, AL",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL",Lawrence County,Alabama,79,1000,1079,Outlying,"Decatur, AL",153084,"Lawrence County, Alabama"
338,290,"Decatur, AL",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL",Morgan County,Alabama,103,1000,1103,Central,"Decatur, AL",153084,"Morgan County, Alabama"
363,222,"Dothan, AL",Metropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL",Geneva County,Alabama,61,1000,1061,Outlying,"Dothan, AL",148095,"Geneva County, Alabama"
364,222,"Dothan, AL",Metropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL",Henry County,Alabama,67,1000,1067,Outlying,"Dothan, AL",148095,"Henry County, Alabama"
365,222,"Dothan, AL",Metropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL",Houston County,Alabama,69,1000,1069,Central,"Dothan, AL",148095,"Houston County, Alabama"
405,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,,Colbert County,Alabama,33,1000,1033,Central,"Florence-Muscle Shoals, AL",147639,"Colbert County, Alabama"
406,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,,Lauderdale County,Alabama,77,1000,1077,Central,"Florence-Muscle Shoals, AL",147639,"Lauderdale County, Alabama"
417,,"Gadsden, AL",Metropolitan Statistical Area,,Etowah County,Alabama,55,1000,1055,Central,"Gadsden, AL",103531,"Etowah County, Alabama"
489,290,"Huntsville, AL",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL",Limestone County,Alabama,83,1000,1083,Outlying,"Huntsville, AL",441086,"Limestone County, Alabama"
490,290,"Huntsville, AL",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL",Madison County,Alabama,89,1000,1089,Central,"Huntsville, AL",441086,"Madison County, Alabama"
705,380,"Mobile, AL",Metropolitan Statistical Area,"Mobile-Daphne-Fairhope, AL",Mobile County,Alabama,97,1000,1097,Central,"Mobile, AL",415123,"Mobile County, Alabama"
710,,"Montgomery, AL",Metropolitan Statistical Area,,Autauga County,Alabama,1,1000,1001,Central,"Montgomery, AL",373141,"Autauga County, Alabama"
711,,"Montgomery, AL",Metropolitan Statistical Area,,Elmore County,Alabama,51,1000,1051,Central,"Montgomery, AL",373141,"Elmore County, Alabama"
712,,"Montgomery, AL",Metropolitan Statistical Area,,Lowndes County,Alabama,85,1000,1085,Outlying,"Montgomery, AL",373141,"Lowndes County, Alabama"
713,,"Montgomery, AL",Metropolitan Statistical Area,,Montgomery County,Alabama,101,1000,1101,Central,"Montgomery, AL",373141,"Montgomery County, Alabama"
1131,,"Tuscaloosa, AL",Metropolitan Statistical Area,,Hale County,Alabama,65,1000,1065,Outlying,"Tuscaloosa, AL",237761,"Hale County, Alabama"
1132,,"Tuscaloosa, AL",Metropolitan Statistical Area,,Pickens County,Alabama,107,1000,1107,Outlying,"Tuscaloosa, AL",237761,"Pickens County, Alabama"
1133,,"Tuscaloosa, AL",Metropolitan Statistical Area,,Tuscaloosa County,Alabama,125,1000,1125,Central,"Tuscaloosa, AL",237761,"Tuscaloosa County, Alabama"
41,,"Anchorage, AK",Metropolitan Statistical Area,,Anchorage Municipality,Alaska,20,2000,2020,Central,"Anchorage, AK",398892,"Anchorage Municipality, Alaska"
42,,"Anchorage, AK",Metropolitan Statistical Area,,Matanuska-Susitna Borough,Alaska,170,2000,2170,Outlying,"Anchorage, AK",398892,"Matanuska-Susitna Borough, Alaska"
401,,"Flagstaff, AZ",Metropolitan Statistical Area,,Coconino County,Arizona,5,4000,4005,Central,"Flagstaff, AZ",137682,"Coconino County, Arizona"
589,332,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,"Las Vegas-Henderson, NV-AZ",Mohave County,Arizona,15,4000,4015,Central,"Lake Havasu City-Kingman, AZ",203361,"Mohave County, Arizona"
